[1, 6.4, 9, 5, 38, 25, 69, 1, 93]
[2, 13.78, 7, 9, 34, -1, 45, 1, 42]
[3, 101.93, 8, 11, 34, -5, 42, 2, 109]
[4, 25.75, 10, 14, 34, -17, 39, 2, 35]
[5, 547.25, 9, 4, 38, 21, 70, 1, 410]
[6, 1.08, 6, 17, 36, -44, 25, 1, 39805]
[7, 29.55, 15, 1, 24, 38, 62, 2, 9890]
[8, 2.15, 9, 8, 34, 7, 53, 2, 57]
[9, 4.43, 10, 4, 26, 17, 46, 2, 30120]
[10, 21.45, 4, 16, 34, -12, 34, 2, 254]
[11, 935.0, 12, 2, 38, 45, 84, 2, 873]
[12, 317.15, 7, 6, 38, 12, 63, 2, 380]
[13, 457.0, 10, 3, 38, 37, 77, 2, 3709]
[14, 24.03, 4, 5, 32, 3, 24, 2, 8394]
[15, 421.85, 3, 6, 34, 8, 50, 2, 64]
[16, 547.7, 12, 2, 34, 39, 71, 2, 72]
[17, 14.83, 3, 13, 38, -2, 45, 2, 108]
[18, 223.0, 8, 10, 34, -3, 43, 2, 8354]
[19, 24.03, 12, 16, 38, -21, 40, 2, 4172]
[20, 1.94, 6, 15, 36, -6, 46, 2, 49078]
[21, 2.06, 11, 8, 34, 14, 52, 1, 89]
[22, 19.3, 8, 7, 46, 21, 76, 1, 988]
[23, 17.93, 4, 15, 34, -17, 36, 1, 41]
[24, 294.45, 5, 7, 34, 6, 50, 2, 187]
[25, 3.05, 10, 1, 34, 37, 70, 1, 86]
[26, 45.0, 6, 5, 36, 1, 47, 2, 242]
[27, 984.2, 13, 1, 34, 54, 71, 2, 23826]
[28, 9.0, 8, 3, 38, 40, 71, 2, 5646]
[29, 352.9, 6, 17, 38, -23, 36, 1, 631]
[30, 14.05, 9, 13, 34, -16, 41, 1, 2036]
[31, 879.0, 8, 5, 38, 28, 67, 1, 281]
[33, 60.4, 3, 17, 34, -36, 31, 2, 1328]
[34, 2.2, 4, 9, 34, 12, 49, 1, 1068]
[35, 24.75, 7, 5, 34, 16, 58, 1, 4]
[36, 172.4, 8, 2, 36, 45, 80, 2, 338]
[38, 27.75, 8, 4, 34, 17, 58, 2, 187]
[39, 113.7, 10, 9, 34, -1, 46, 2, 94]
[40, 33.2, 10, 3, 37, 24, 69, 1, 1423]
[41, 37.65, 9, 3, 34, 25, 66, 2, 23]
[42, 23.53, 10, 10, 34, -5, 44, 2, 2]
[43, 16.25, 4, 4, 33, 7, 48, 1, 2759]
[44, 92.35, 4, 18, 34, -27, 29, 2, 23]
[45, 4.88, 8, 9, 34, 7, 52, 2, 497]
[46, 534.45, 6, 3, 38, 29, 72, 2, 1005]
[47, 3.95, 5, 6, 26, 27, 44, 2, 8699]
[48, 19.75, 10, 7, 34, 3, 46, 2, 127]
[50, 1.76, 8, 16, 34, -29, 29, 2, 299]
[52, 6.35, 13, 12, 38, -4, 46, 2, 81]
[54, 0.175, 8, 5, 24, -5, 34, 2, 87409]
[56, 5.2, 5, 15, 38, -13, 42, 1, 64]
[57, 1.85, 10, 7, 34, 10, 53, 1, 8]
[58, 73.1, 12, 11, 34, 3, 46, 1, 2861]
[60, 161.9, 12, 5, 34, 7, 59, 2, 2]
[61, 25.7, 8, 2, 36, 5, 58, 1, 257]
[62, 52.55, 10, 2, 30, 56, 66, 2, 38208]
[64, 6.73, 12, 1, 38, 40, 74, 2, 56]
[65, 20.8, 2, 12, 34, -3, 41, 1, 269]
[66, 4.13, 9, 1, 38, 53, 86, 2, 7679]
[69, 2.95, 13, 1, 34, 34, 72, 2, 851]
[72, 8.18, 12, 8, 38, 9, 57, 2, 129]
[73, 0.375, 8, 8, 34, 16, 53, 1, 24235]
[76, 13.0, 4, 10, 9, -2, 10, 2, 5619]
[78, 2.51, 13, 1, 36, 45, 76, 2, 785]
[79, 115.95, 4, 16, 34, -12, 33, 2, 129]
[80, 47.75, 0, 14, 34, -32, 35, 2, 40373]
[81, 6.4, 5, 3, 38, 21, 70, 1, 52]
[82, 200.7, 2, 8, 34, 9, 49, 2, 113]
[83, 1.83, 9, 15, 34, -14, 32, 2, 5271]
[84, 8.8, 3, 3, 33, 13, 54, 2, 30613]
[85, 6.45, 10, 7, 38, -2, 60, 1, 1622]
[86, 80.55, 8, 13, 34, -13, 36, 2, 25]
[87, 3.25, 9, 15, 36, -4, 45, 1, 10213]
[88, 11.55, 7, 12, 34, -9, 41, 2, 324]
[89, 126.1, 11, 4, 34, 13, 62, 2, 21]
[90, 1.48, 11, 10, 34, 5, 49, 1, 9572]
[91, 3.1, 13, 1, 34, 50, 79, 1, 97]
[92, 2.11, 5, 6, 34, 5, 54, 1, 767]
[93, 4.93, 4, 10, 38, 2, 49, 2, 1]
[94, 6.05, 2, 14, 38, -13, 45, 2, 245]
[97, 1.02, 7, 17, 34, -45, 27, 2, 91]
[101, 0.835, 4, 18, 34, -75, 13, 2, 21]
[102, 4.88, 11, 8, 34, 14, 52, 2, 1193]
[103, 2.01, 7, 6, 38, 13, 59, 2, 4948]
[104, 1.33, 3, 18, 34, -38, 22, 1, 1348]
[105, 25.68, 15, 2, 34, 17, 67, 2, 109]
[107, 2.63, 7, 7, 34, 10, 55, 1, 38]
[108, 6.93, 10, 4, 38, 20, 70, 1, 17]
[109, 15.18, 7, 17, 34, -24, 31, 1, 105]
[110, 1.52, 12, 7, 38, 12, 56, 1, 615]
[111, 1.86, 9, 3, 34, 31, 63, 2, 5761]
[113, 2.04, 13, 2, 34, 37, 63, 1, 82]
[114, 112.88, 10, 3, 35, 42, 77, 1, 3205]
[116, 6.35, 10, 4, 36, 6, 57, 1, 163]
[117, 1.46, 6, 10, 36, 6, 48, 2, 23676]
[119, 23.02, 10, 3, 26, 38, 52, 2, 46710]
[120, 3.07, 9, 1, 38, 45, 84, 1, 27603]
[121, 79.95, 11, 9, 30, 4, 45, 1, 1083]
[122, 42.08, 5, 2, 32, 28, 42, 2, 12369]
[124, 120.03, 10, 2, 33, 47, 79, 2, 1241]
[126, 11.43, 8, 2, 36, 29, 68, 1, 12388]
[127, 19.23, 12, 6, 34, 24, 55, 1, 48]
[129, 9.03, 6, 6, 38, 21, 69, 1, 72]
[130, 45.95, 6, 4, 38, 9, 60, 2, 380]
[131, 767.0, 15, 1, 38, 50, 88, 1, 367]
[132, 9.4, 8, 6, 38, 0, 59, 1, 500]
[133, 16.73, 4, 17, 34, -43, 19, 1, 798]
[139, 0.475, 0, 19, 36, -77, 15, 1, 10284]
[141, 176.43, 10, 1, 36, 56, 88, 2, 2832]
[142, 29.4, 7, 13, 42, 1, 53, 2, 472]
[144, 20.33, 1, 4, 36, 0, 49, 2, 223]
[148, 680.3, 11, 8, 38, 7, 60, 1, 180]
[150, 252.5, 12, 6, 38, 5, 60, 1, 1531]
[151, 0.2, 12, 7, 10, 15, 46, 2, 5406]
[152, 15.5, 6, 1, 36, 44, 78, 2, 2375]
[156, 24.0, 13, 4, 30, 24, 54, 2, 61955]
[157, 70.55, 8, 5, 34, 26, 56, 2, 2282]
[158, 1.17, 4, 16, 34, -26, 29, 1, 107]
[159, 58.7, 15, 1, 30, 67, 82, 1, 7567]
[161, 32.85, 9, 3, 26, 22, 52, 2, 16214]
[162, 324.2, 5, 6, 38, 12, 65, 1, 383]
[163, 6.3, 6, 8, 36, -2, 37, 2, 116]
[164, 69.93, 9, 7, 46, -2, 69, 1, 1039]
[166, 3.91, 6, 18, 38, -22, 35, 1, 247]
[167, 117.15, 3, 15, 34, -21, 34, 2, 4883]
[168, 14.18, 7, 9, 34, -9, 45, 1, 759]
